,,Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,"""""",Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,"""""",Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,"""""",Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,"""""",Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,"""""",Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,=========,Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,"""""",Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,"""""",Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,"""""",Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,"""""",Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif,"""""",Estimate,Std. Error,z value,P.Value,Chisq,Chisq_ratio,Signif
,,LB => TP,LB => TP,LB => TP,LB => TP,LB => TP,LB => TP,LB => TP,,LB => LP,LB => LP,LB => LP,LB => LP,LB => LP,LB => LP,LB => LP,,LB => TB,LB => TB,LB => TB,LB => TB,LB => TB,LB => TB,LB => TB,,LP => TP,LP => TP,LP => TP,LP => TP,LP => TP,LP => TP,LP => TP,,LP => TB,LP => TB,LP => TB,LP => TB,LP => TB,LP => TB,LP => TB,,TB => TP,TB => TP,TB => TP,TB => TP,TB => TP,TB => TP,TB => TP,,TP => LB,TP => LB,TP => LB,TP => LB,TP => LB,TP => LB,TP => LB,,LP => LB,LP => LB,LP => LB,LP => LB,LP => LB,LP => LB,LP => LB,,TB => LB,TB => LB,TB => LB,TB => LB,TB => LB,TB => LB,TB => LB,,TP => LP,TP => LP,TP => LP,TP => LP,TP => LP,TP => LP,TP => LP,,TB => LP,TB => LP,TB => LP,TB => LP,TB => LP,TB => LP,TB => LP,,TP => TB,TP => TB,TP => TB,TP => TB,TP => TB,TP => TB,TP => TB
-------,-------,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------
,,AUC,0.967,,,,,,,AUC,0.767,,,,,,,AUC,0.869,,,,,,,AUC,0.936,,,,,,,AUC,0.85,,,,,,,AUC,0.8,,,,,,,AUC,0.967,,,,,,,AUC,0.767,,,,,,,AUC,0.869,,,,,,,AUC,0.936,,,,,,,AUC,0.85,,,,,,,AUC,0.8,,,,,
Chisq,Glmer,R2_marginal,0.148,,,,,,,R2_marginal,0.025,,,,,,,R2_marginal,0.058,,,,,,,R2_marginal,0.094,,,,,,,R2_marginal,0.052,,,,,,,R2_marginal,0.028,,,,,,,R2_marginal,0.148,,,,,,,R2_marginal,0.025,,,,,,,R2_marginal,0.058,,,,,,,R2_marginal,0.094,,,,,,,R2_marginal,0.052,,,,,,,R2_marginal,0.028,,,,,
,,R2_conditional,0.141,,,,,,,R2_conditional,0.017,,,,,,,R2_conditional,0.052,,,,,,,R2_conditional,0.089,,,,,,,R2_conditional,0.045,,,,,,,R2_conditional,0.024,,,,,,,R2_conditional,0.141,,,,,,,R2_conditional,0.017,,,,,,,R2_conditional,0.052,,,,,,,R2_conditional,0.089,,,,,,,R2_conditional,0.045,,,,,,,R2_conditional,0.024,,,,,
-------,-------,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------,,-------,-------,-------,-------,-------,-------,-------
(Intercept),(Intercept),1.148924177,0.208921527,5.499309674,3.81E-08,30.242,,***,,2.046823812,0.079711344,25.67794896,2.06E-145,659.357,,***,,0.215243847,0.156212967,1.377887192,0.16823812,1.899,, ,,-1.300677779,0.150778233,-8.626429389,6.33E-18,74.415,,***,,-1.545305566,0.127926209,-12.0796636,1.35E-33,145.918,,***,,0.097195895,0.146012394,0.665668799,0.505622821,0.443,, ,,-1.148924177,0.208921527,5.499309674,3.81E-08,30.242,,***,,-2.046823812,0.079711344,25.67794896,2.06E-145,659.357,,***,,-0.215243847,0.156212967,1.377887192,0.16823812,1.899,, ,,1.300677779,0.150778233,-8.626429389,6.33E-18,74.415,,***,,1.545305566,0.127926209,-12.0796636,1.35E-33,145.918,,***,,-0.097195895,0.146012394,0.665668799,0.505622821,0.443,, 
after_scripting_lines,after_scripting_lines,0.032397152,0.004487135,7.220008794,5.20E-13,52.129,0.82,***,,0.02433081,0.003006585,8.092506609,5.84E-16,65.489,1.45,***,,-0.008300261,0.006808181,-1.219160007,0.222783468,1.486,0.06, ,,0.003841094,0.004137064,0.928459003,0.353169524,0.862,0.01, ,,-0.037501304,0.007321023,-5.122413352,3.02E-07,26.239,0.65,***,,0.016337551,0.006841607,2.387969945,0.016941727,5.702,0.23,*,,-0.032397152,0.004487135,7.220008794,5.20E-13,52.129,0.82,***,,-0.02433081,0.003006585,8.092506609,5.84E-16,65.489,1.45,***,,0.008300261,0.006808181,-1.219160007,0.222783468,1.486,0.06, ,,-0.003841094,0.004137064,0.928459003,0.353169524,0.862,0.01, ,,0.037501304,0.007321023,-5.122413352,3.02E-07,26.239,0.65,***,,-0.016337551,0.006841607,2.387969945,0.016941727,5.702,0.23,*
author_experience_days,author_experience_days,-0.000225176,8.97E-06,-25.1059454,4.28E-139,630.308,9.86,***,,-3.33E-05,3.99E-06,-8.343107382,7.24E-17,69.607,1.54,***,,1.64E-05,8.40E-06,1.956893496,0.050359991,3.829,0.16,.,,-8.58E-05,5.60E-06,-15.34348893,3.92E-53,235.423,3.01,***,,4.91E-05,7.07E-06,6.949913345,3.66E-12,48.301,1.2,***,,-0.000135827,8.59E-06,-15.81994903,2.27E-56,250.271,10.29,***,,0.000225176,8.97E-06,-25.1059454,4.28E-139,630.308,9.86,***,,3.33E-05,3.99E-06,-8.343107382,7.24E-17,69.607,1.54,***,,-1.64E-05,8.40E-06,1.956893496,0.050359991,3.829,0.16,.,,8.58E-05,5.60E-06,-15.34348893,3.92E-53,235.423,3.01,***,,-4.91E-05,7.07E-06,6.949913345,3.66E-12,48.301,1.2,***,,0.000135827,8.59E-06,-15.81994903,2.27E-56,250.271,10.29,***
build_day_night,build_day_nightnight,0.08026289,0.016648232,4.821105824,1.43E-06,23.243,0.36,***,,-0.049827591,0.008836954,-5.638548186,1.71E-08,31.793,0.7,***,,0.068804026,0.016176602,4.253305179,2.11E-05,18.091,0.76,***,,0.120462545,0.010919639,11.03173325,2.69E-28,121.699,1.56,***,,0.092934281,0.013757245,6.755297293,1.43E-11,45.634,1.13,***,,0.002816344,0.014516441,0.194010659,0.846167536,0.038,0, ,,-0.08026289,0.016648232,4.821105824,1.43E-06,23.243,0.36,***,,0.049827591,0.008836954,-5.638548186,1.71E-08,31.793,0.7,***,,-0.068804026,0.016176602,4.253305179,2.11E-05,18.091,0.76,***,,-0.120462545,0.010919639,11.03173325,2.69E-28,121.699,1.56,***,,-0.092934281,0.013757245,6.755297293,1.43E-11,45.634,1.13,***,,-0.002816344,0.014516441,0.194010659,0.846167536,0.038,0, 
