,gh_repository_name,pattern,sub_pattern,sub_pattern_details
1,activeadmin/activeadmin,.,. --> . --> . --> .,long_passed --> long_passed --> long_passed --> long_passed
2,ActiveJpa/activejpa,. --> + --> . --> +,. --> + --> . --> +,timely_broken --> timely_passed --> timely_broken --> timely_passed
3,activerecord-hackery/ransack,.,. --> . --> . --> .,long_passed --> long_passed --> long_passed --> long_passed
4,activescaffold/active_scaffold,. --> -,. --> . --> . --> -,long_passed --> long_passed --> long_passed --> long_broken
5,adhearsion/adhearsion,- --> . --> -,- --> - --> . --> -,long_broken --> long_broken --> timely_broken --> long_broken
6,ai/autoprefixer-rails,+ --> . --> +,+ --> + --> . --> +,timely_passed --> timely_passed --> long_passed --> timely_passed
7,airbnb/nerve,+,+ --> + --> + --> +,timely_passed --> timely_passed --> timely_passed --> timely_passed
8,airbnb/synapse,+,+ --> + --> + --> +,timely_passed --> timely_passed --> timely_passed --> timely_passed
9,airlift/airlift,- --> .,- --> . --> . --> .,long_broken --> long_passed --> long_passed --> long_passed
10,airlift/slice,+,+ --> + --> + --> +,timely_passed --> timely_passed --> timely_passed --> timely_passed
11,albertlatacz/java-repl,+,+ --> + --> + --> +,timely_passed --> timely_passed --> timely_passed --> timely_passed
12,alexreisner/geocoder,. --> -,. --> . --> - --> -,long_passed --> long_passed --> long_broken --> long_broken
13,amahi/platform,+ --> . --> +,+ --> + --> . --> +,timely_passed --> timely_passed --> long_passed --> timely_passed
14,amatsuda/active_decorator,+ --> .,+ --> . --> . --> .,timely_passed --> long_passed --> long_passed --> long_passed
15,ankane/groupdate,+,+ --> + --> + --> +,timely_passed --> timely_passed --> timely_passed --> timely_passed
16,ankane/searchkick,+ --> .,+ --> + --> + --> .,timely_passed --> timely_passed --> timely_passed --> long_passed
17,anthonycr/Lightning-Browser,. --> + --> .,. --> + --> . --> .,timely_broken --> timely_passed --> long_passed --> long_passed
18,antirez/redis-doc,+,+ --> + --> + --> +,timely_passed --> timely_passed --> timely_passed --> timely_passed
19,aol/micro-server,.,. --> . --> . --> .,timely_broken --> timely_broken --> timely_broken --> timely_broken
20,apache/drill,- --> .,- --> - --> . --> .,long_broken --> long_broken --> long_passed --> long_passed
21,apache/flink,- --> . --> -,- --> . --> . --> -,long_broken --> long_passed --> long_passed --> long_broken
22,apache/jackrabbit-oak,. --> - --> .,. --> . --> - --> .,long_passed --> long_passed --> long_broken --> long_passed
23,apache/storm,- --> .,- --> . --> . --> .,long_broken --> long_passed --> long_passed --> long_passed
24,arangamani/jenkins_api_client,. --> + --> . --> +,. --> + --> . --> +,timely_broken --> timely_passed --> long_passed --> timely_passed
25,arsduo/koala,+ --> . --> +,+ --> . --> + --> +,timely_passed --> timely_broken --> timely_passed --> timely_passed
26,ArturT/knapsack,+ --> .,+ --> + --> + --> .,timely_passed --> timely_passed --> timely_passed --> long_passed
27,asakusarb/action_args,.,. --> . --> . --> .,timely_broken --> long_passed --> long_passed --> long_passed
28,asciidocfx/AsciidocFX,+ --> .,+ --> . --> . --> .,timely_passed --> long_passed --> long_passed --> long_passed
29,asciidoctor/asciidoctor,+ --> .,+ --> . --> . --> .,timely_passed --> long_passed --> long_passed --> long_passed
30,asciidoctor/asciidoctor-diagram,. --> + --> .,. --> . --> + --> .,long_passed --> long_passed --> timely_passed --> long_passed
31,assaf/vanity,- --> .,- --> . --> . --> .,long_broken --> long_passed --> long_passed --> long_passed
32,awestruct/awestruct,+ --> .,+ --> . --> . --> .,timely_passed --> long_passed --> long_passed --> long_passed
33,aws/aws-sdk-java,- --> .,- --> . --> . --> .,long_broken --> long_passed --> long_passed --> long_passed
34,aws/aws-sdk-ruby,.,. --> . --> . --> .,long_passed --> long_passed --> long_passed --> long_passed
35,azagniotov/stubby4j,+ --> . --> +,+ --> . --> + --> +,timely_passed --> timely_broken --> timely_passed --> timely_passed
36,azkaban/azkaban,+ --> .,+ --> + --> + --> .,timely_passed --> timely_passed --> timely_passed --> long_passed
37,Azure/azure-sdk-for-ruby,+ --> .,+ --> . --> . --> .,timely_passed --> long_passed --> long_passed --> long_passed
38,AzureAD/azure-activedirectory-library-for-android,.,. --> . --> . --> .,long_passed --> long_passed --> long_passed --> long_passed
39,bartdag/py4j,+ --> . --> -,+ --> + --> . --> -,timely_passed --> timely_passed --> long_passed --> long_broken
40,basho/riak-java-client,+ --> . --> + --> .,+ --> . --> + --> .,timely_passed --> timely_broken --> timely_passed --> long_passed
41,BBC-News/wraith,. --> +,. --> + --> + --> +,long_passed --> timely_passed --> timely_passed --> timely_passed
42,benbalter/gman,+ --> .,+ --> + --> + --> .,timely_passed --> timely_passed --> timely_passed --> timely_broken
43,benbalter/jekyll-auth,+ --> .,+ --> + --> . --> .,timely_passed --> timely_passed --> timely_broken --> timely_broken
44,benbalter/word-to-markdown,+ --> . --> +,+ --> . --> . --> +,timely_passed --> timely_broken --> timely_broken --> timely_passed
45,bikeindex/bike_index,. --> +,. --> . --> . --> +,long_passed --> long_passed --> long_passed --> timely_passed
46,binarylogic/authlogic,. --> +,. --> . --> + --> +,long_passed --> long_passed --> timely_passed --> timely_passed
47,biojava/biojava,.,. --> . --> . --> .,long_passed --> long_passed --> long_passed --> long_passed
48,bitcoinj/bitcoinj,. --> +,. --> . --> + --> +,long_passed --> long_passed --> timely_passed --> timely_passed
49,bkeepers/dotenv,. --> +,. --> + --> + --> +,long_passed --> timely_passed --> timely_passed --> timely_passed
50,blowmage/minitest-rails,- --> .,- --> . --> . --> .,long_broken --> long_passed --> long_passed --> long_passed
51,bndtools/bnd,.,. --> . --> . --> .,long_passed --> long_passed --> long_passed --> long_passed
52,bndtools/bndtools,+,+ --> + --> + --> +,timely_passed --> timely_passed --> timely_passed --> timely_passed
53,bogdan/datagrid,+,+ --> + --> + --> +,timely_passed --> timely_passed --> timely_passed --> timely_passed
54,bokmann/business_time,+,+ --> + --> + --> +,timely_passed --> timely_passed --> timely_passed --> timely_passed
55,brettwooldridge/HikariCP,+,+ --> + --> + --> +,timely_passed --> timely_passed --> timely_passed --> timely_passed
56,brianmario/mysql2,+ --> . --> - --> .,+ --> . --> - --> .,timely_passed --> long_passed --> long_broken --> long_passed
57,broadinstitute/picard,+ --> .,+ --> + --> . --> .,timely_passed --> timely_passed --> long_passed --> long_passed
58,brooklynDev/airborne,+,+ --> + --> + --> +,timely_passed --> timely_passed --> timely_passed --> timely_passed
59,bugsnag/bugsnag-android,+ --> .,+ --> . --> . --> .,timely_passed --> long_passed --> long_passed --> long_passed
60,bugsnag/bugsnag-ruby,+ --> .,+ --> + --> + --> .,timely_passed --> timely_passed --> timely_passed --> long_passed
61,BuildCraft/BuildCraft,.,. --> . --> . --> .,long_passed --> timely_broken --> long_passed --> long_passed
62,bumptech/glide,.,. --> . --> . --> .,long_passed --> long_passed --> long_passed --> long_passed
63,burke/zeus,. --> +,. --> . --> + --> +,timely_broken --> timely_broken --> timely_passed --> timely_passed
64,bwillis/versioncake,+ --> . --> +,+ --> + --> . --> +,timely_passed --> timely_passed --> long_passed --> timely_passed
65,byroot/activerecord-typedstore,+ --> .,+ --> . --> . --> .,timely_passed --> long_passed --> long_passed --> long_passed
66,caelum/vraptor4,+,+ --> + --> + --> +,timely_passed --> timely_passed --> timely_passed --> timely_passed
67,calabash/calabash-ios,.,. --> . --> . --> .,long_passed --> long_passed --> long_passed --> long_passed
68,calagator/calagator,.,. --> . --> . --> .,long_passed --> long_passed --> long_passed --> long_passed
69,CanCanCommunity/cancancan,.,. --> . --> . --> .,long_passed --> long_passed --> long_passed --> long_passed
70,cantino/reckon,+,+ --> + --> + --> +,timely_passed --> timely_passed --> timely_passed --> timely_passed
71,carrierwaveuploader/carrierwave,.,. --> . --> . --> .,long_passed --> long_passed --> long_passed --> long_passed
