project.name,switching.pattern,metric.name,Chisq_ratio,Signif,Estimate,P.Value,Chisq
ActiveJpa/activejpa,timely_broken->timely_passed,total_three_months_ago,100,***,-0.291045033,7.90E-12,46.791
ActiveJpa/activejpa,timely_broken->timely_passed,gh_by_core_team_member,67.07,***,-3038.601573,< 2.2e-16,648.786
ActiveJpa/activejpa,timely_broken->timely_passed,issues_ratio_three_months_ago,29.81,***,483.6646389,< 2.2e-16,288.349
ActiveJpa/activejpa,timely_broken->timely_passed,author_experience_days,2.14,***,-0.288585405,5.40E-06,20.691
ActiveJpa/activejpa,timely_broken->timely_passed,gh_num_commits_on_files_touched,0.99,**,36.21643639,0.002016218,9.535
adhearsion/adhearsion,long_broken->timely_broken,author_experience_days,72.92,***,0.018303111,< 2.2e-16,387.966
adhearsion/adhearsion,long_broken->timely_broken,gh_by_core_team_member,17.26,***,-20.03842752,< 2.2e-16,91.835
adhearsion/adhearsion,long_broken->timely_broken,reviews_ratio_three_months_ago,3.94,***,469.4163278,4.63E-06,20.983
adhearsion/adhearsion,long_broken->timely_broken,commits_ratio_three_months_ago,1.22,*,-6.391146615,0.010733343,6.509
adhearsion/adhearsion,long_broken->timely_broken,gh_diff_doc_files,0.85,*,-1.339964889,0.033488727,4.521
ai/autoprefixer-rails,long_passed->timely_passed,gh_is_pr,18.64,***,384.1909408,< 2.2e-16,2378.881
ai/autoprefixer-rails,long_passed->timely_passed,commits_ratio_three_months_ago,17.51,***,-921.1307694,< 2.2e-16,2234.707
ai/autoprefixer-rails,long_passed->timely_passed,installation_lines,16.38,***,783.1530868,< 2.2e-16,2090.532
ai/autoprefixer-rails,long_passed->timely_passed,author_experience_days,14.12,***,0.33983332,< 2.2e-16,1802.183
ai/autoprefixer-rails,long_passed->timely_passed,total_three_months_ago,8.47,***,0.149951847,< 2.2e-16,1081.31
ai/autoprefixer-rails,long_passed->timely_passed,caching,6.78,***,-54.76278736,< 2.2e-16,865.048
ai/autoprefixer-rails,long_passed->timely_passed,gh_diff_other_files,5.08,***,80.03167387,< 2.2e-16,648.786
ai/autoprefixer-rails,long_passed->timely_passed,gh_diff_doc_files,4.52,***,-109.9305924,< 2.2e-16,576.698
ai/autoprefixer-rails,long_passed->timely_passed,unmerged_prs_ratio_three_months_ago,4.52,***,-8057.430249,< 2.2e-16,576.698
ai/autoprefixer-rails,long_passed->timely_passed,git_diff_test_churn,2.26,***,22.38664442,< 2.2e-16,288.349
ai/autoprefixer-rails,long_passed->timely_passed,gh_diff_files_modified,1.69,***,-46.66118809,< 2.2e-16,216.262
airlift/airlift,long_broken->long_passed,caching,37.5,***,55.66806417,< 2.2e-16,164.817
airlift/airlift,long_broken->long_passed,gh_by_core_team_member,27.72,***,-92.64164468,< 2.2e-16,121.822
airlift/airlift,long_broken->long_passed,author_experience_days,23.46,***,0.021607169,< 2.2e-16,103.084
airlift/airlift,long_broken->long_passed,reviews_ratio_three_months_ago,5.38,***,19228.6083,1.16E-06,23.639
airlift/airlift,long_broken->long_passed,commits_ratio_three_months_ago,1.01,*,51.65807285,0.035474628,4.422
amahi/platform,long_passed->timely_passed,author_experience_days,57.89,***,0.11927008,< 2.2e-16,576.698
amahi/platform,long_passed->timely_passed,config_files_modified,28.94,***,-20.59408068,< 2.2e-16,288.349
amahi/platform,long_passed->timely_passed,gh_by_core_team_member,6.68,***,-421.460676,3.34E-16,66.593
amahi/platform,long_passed->timely_passed,total_three_months_ago,4.05,***,2.205426242,2.07E-10,40.398
amahi/platform,long_passed->timely_passed,issues_ratio_three_months_ago,2.43,***,-805.1091747,8.59E-07,24.221
anthonycr/Lightning-Browser,timely_broken->timely_passed,git_diff_src_churn,-3.24,***,-1.84236E+11,< 2.2e-16,937.135
anthonycr/Lightning-Browser,timely_broken->timely_passed,weekday_weekend,-3.24,***,-7.01647E+12,< 2.2e-16,937.135
anthonycr/Lightning-Browser,timely_broken->timely_passed,gh_diff_files_modified,-0.5,***,-3.36997E+12,< 2.2e-16,144.175
apache/drill,long_broken->long_passed,reviews_ratio_three_months_ago,27.42,***,2576.744158,1.68E-06,22.935
apache/drill,long_broken->long_passed,author_experience_days,17.62,***,0.003353757,0.000123187,14.743
apache/drill,long_broken->long_passed,gh_num_commits_on_files_touched,11.31,**,0.015779825,0.002100186,9.46
apache/drill,long_broken->long_passed,config_files_modified,9.09,**,-0.300407191,0.005816013,7.606
apache/drill,long_broken->long_passed,issues_ratio_three_months_ago,8.88,**,2666.059395,0.006405926,7.432
apache/flink,long_broken->long_passed,unmerged_prs_ratio_three_months_ago,26.18,***,-13.44459451,< 2.2e-16,82.851
apache/flink,long_broken->long_passed,num_jobs_added,20.96,***,0.224133666,3.85E-16,66.309
apache/flink,long_broken->long_passed,merged_prs_ratio_three_months_ago,20.65,***,27.57384267,6.30E-16,65.342
apache/flink,long_broken->long_passed,reviews_ratio_three_months_ago,8.39,***,6.027968238,2.55E-07,26.562
apache/flink,long_broken->long_passed,git_num_all_built_commits,7.5,***,0.153807429,1.11E-06,23.72
apache/flink,long_broken->long_passed,author_experience_days,3.26,**,-0.000316151,0.001328912,10.302
apache/flink,long_broken->long_passed,total_three_months_ago,2.95,**,-0.000538968,0.00224856,9.335
apache/flink,long_broken->long_passed,commits_ratio_three_months_ago,2.61,**,1.074306684,0.00402717,8.272
apache/flink,long_broken->long_passed,gh_diff_other_files,1.88,*,-0.017978549,0.014711572,5.951
apache/flink,long_broken->long_passed,weekday_weekend,1.45,*,-0.418693987,0.032437458,4.575
apache/jackrabbit-oak,long_broken->long_passed,caching,88.08,***,4407.53608,< 2.2e-16,1388.264
apache/jackrabbit-oak,long_broken->long_passed,installation_lines,5.07,***,739.1403408,< 2.2e-16,79.933
apache/jackrabbit-oak,long_broken->long_passed,issues_ratio_three_months_ago,2.26,***,4392.437232,2.42E-09,35.598
apache/jackrabbit-oak,long_broken->long_passed,gh_by_core_team_member,1.3,***,1.449988825,5.78E-06,20.561
apache/jackrabbit-oak,long_broken->long_passed,total_three_months_ago,0.93,***,-0.004102145,0.000133922,14.586
apache/jackrabbit-oak,long_broken->long_passed,weekday_weekend,0.92,***,-2.765568069,0.000137831,14.532
apache/jackrabbit-oak,long_broken->long_passed,build_day_night,0.3,*,0.56509612,0.03078819,4.665
apache/jackrabbit-oak,long_broken->long_passed,commits_ratio_three_months_ago,0.26,*,4.592766713,0.042440966,4.118
apache/storm,long_broken->long_passed,sudo,67.05,***,9.183803673,< 2.2e-16,239.996
apache/storm,long_broken->long_passed,reviews_ratio_three_months_ago,13.86,***,76.91761419,1.88E-12,49.609
apache/storm,long_broken->long_passed,gh_num_commits_on_files_touched,4.6,***,-0.042928715,4.95E-05,16.466
apache/storm,long_broken->long_passed,caching,3.84,***,-23.78399325,0.000209656,13.743
apache/storm,long_broken->long_passed,git_num_all_built_commits,2.04,**,0.998336217,0.006914084,7.295
apache/storm,long_broken->long_passed,weekday_weekend,1.88,**,2.44338049,0.009401291,6.745
apache/storm,long_broken->long_passed,total_three_months_ago,1.82,*,-0.003716537,0.0106637,6.521
apache/storm,long_broken->long_passed,unmerged_prs_ratio_three_months_ago,1.19,*,-24.33812205,0.039313261,4.247
arangamani/jenkins_api_client,long_passed->timely_passed,gh_is_pr,-75.71,***,6.95071E+14,< 2.2e-16,1946.357
arangamani/jenkins_api_client,long_passed->timely_passed,weekday_weekend,-47.67,***,-1.28401E+14,< 2.2e-16,1225.484
arangamani/jenkins_api_client,long_passed->timely_passed,git_num_all_built_commits,-42.06,***,6.38614E+13,< 2.2e-16,1081.31
arangamani/jenkins_api_client,long_passed->timely_passed,gh_num_commits_on_files_touched,-39.25,***,-1.35186E+12,< 2.2e-16,1009.222
arangamani/jenkins_api_client,long_passed->timely_passed,num_jobs_added,-39.25,***,7.76058E+14,< 2.2e-16,1009.222
arangamani/jenkins_api_client,long_passed->timely_passed,gh_diff_files_modified,-33.65,***,1.10623E+13,< 2.2e-16,865.048
arangamani/jenkins_api_client,long_passed->timely_passed,commits_ratio_three_months_ago,-30.84,***,-1.76139E+14,< 2.2e-16,792.96
arangamani/jenkins_api_client,long_passed->timely_passed,installation_lines,-30.84,***,-4.73138E+14,< 2.2e-16,792.96
arangamani/jenkins_api_client,long_passed->timely_passed,scripting_lines,-11.22,***,-1.29793E+15,< 2.2e-16,288.349
arangamani/jenkins_api_client,long_passed->timely_passed,author_experience_days,-2.8,***,1.27056E+12,< 2.2e-16,72.087
arangamani/jenkins_api_client,long_passed->timely_passed,build_day_night,-2.8,***,2.72311E+14,< 2.2e-16,72.087
arangamani/jenkins_api_client,long_passed->timely_passed,merged_prs_ratio_three_months_ago,-2.8,***,1.91217E+15,< 2.2e-16,72.087
arsduo/koala,timely_broken->timely_passed,caching,19.53,***,37.53551681,1.79E-07,27.249
arsduo/koala,timely_broken->timely_passed,author_experience_days,17.53,***,0.00594053,7.62E-07,24.453
arsduo/koala,timely_broken->timely_passed,gh_by_core_team_member,10.83,***,-4.739598488,0.000101239,15.113
arsduo/koala,timely_broken->timely_passed,open_prs_ratio_three_months_ago,6.22,**,360.9945835,0.003215159,8.681
arsduo/koala,timely_broken->timely_passed,commit_day_night,5.78,*,19.0701279,0.017744711,8.063
arsduo/koala,timely_broken->timely_passed,issues_ratio_three_months_ago,5.63,**,-10.93495743,0.00505261,7.861
arsduo/koala,timely_broken->timely_passed,git_diff_src_churn,5.57,**,-0.037090485,0.005289913,7.778
arsduo/koala,timely_broken->timely_passed,total_three_months_ago,5.54,**,-0.014476247,0.005434068,7.729
arsduo/koala,timely_broken->timely_passed,gh_num_commits_on_files_touched,4.7,*,0.016462354,0.010434133,6.559
arsduo/koala,timely_broken->timely_passed,unmerged_prs_ratio_three_months_ago,4.09,*,-39.00581765,0.016965691,5.7
arsduo/koala,timely_broken->timely_passed,gh_is_pr,3.4,*,2.973675976,0.029310959,4.749
arsduo/koala,timely_broken->timely_passed,gh_diff_files_modified,3.22,*,-0.429971233,0.034140108,4.488
assaf/vanity,long_broken->long_passed,total_three_months_ago,35.15,***,-0.036268923,5.14E-13,52.151
assaf/vanity,long_broken->long_passed,scripting_lines,16.88,***,2.244345698,5.60E-07,25.045
assaf/vanity,long_broken->long_passed,issues_ratio_three_months_ago,12.18,***,38.67268776,2.13E-05,18.065
assaf/vanity,long_broken->long_passed,gh_by_core_team_member,7.39,***,4.456723022,0.000929762,10.962
assaf/vanity,long_broken->long_passed,author_experience_days,5.47,**,0.005060513,0.004371685,8.123
assaf/vanity,long_broken->long_passed,merged_prs_ratio_three_months_ago,4.81,**,-17.67749382,0.007522807,7.144
assaf/vanity,long_broken->long_passed,git_diff_src_churn,4.77,**,-0.021132217,0.007824088,7.073
